session_id,target
1,5.325677001851891e-06
2,1.0343555920277279e-06
3,2.5468783968606915e-05
4,2.3236042432724226e-07
5,0.00010746538391564789
6,1.855337204407418e-05
7,1.2128729746718156e-06
8,4.001373218822304e-05
9,1.506985301919681e-07
10,4.77774003467238e-05
11,0.0006796699112504809
12,5.169795248409125e-07
13,2.31128944157324e-06
14,0.0012776257710429748
15,0.0002191468921061763
16,5.1601693604479606e-05
17,7.737420947040112e-05
18,9.018228281153926e-07
19,0.0004476179168694235
20,5.1205359439534e-07
21,0.00036159756194637915
22,2.9072401307025716e-09
23,7.2063153620966706e-06
24,3.3107389864873275e-05
25,9.550642723503029e-06
26,1.2185986066286213e-05
27,3.0577679825045672e-06
28,3.348550482356816e-07
29,0.00014815825235710989
30,0.004658997319104666
31,0.023062696456837062
32,0.030993960789820932
33,3.692211094708008e-06
34,6.585387002288301e-05
35,0.00023413212664753994
36,5.898837422146493e-07
37,1.1283017967701797e-08
38,1.0046262005572669e-05
39,0.0013932057668410896
40,1.1914982681376317e-07
41,0.011397156960611518
42,4.853751812391227e-05
43,2.8977479559324743e-05
44,4.331654234558275e-08
45,0.33683538766421317
46,0.0019005086141229781
47,2.5679736075942768e-05
48,1.057187731332956e-06
49,0.0006304369779545295
50,6.921615373679055e-05
51,3.943541349687946e-09
52,1.0425127601582776e-05
53,0.0005353931940923543
54,4.57602241907388e-06
55,0.010756053569046048
56,3.5522881685033562e-06
57,2.7160884639804405e-08
58,6.610318015362036e-10
59,8.689846020242927e-06
60,4.750167773381965e-09
61,0.00012650449119117968
62,1.3629030373442295e-06
63,3.658041737747033e-07
64,0.005237335502401475
65,5.3793285331934287e-05
66,1.452987890224744e-06
67,8.726383636498933e-05
68,0.0031471535334264716
69,4.9870280054028994e-05
70,5.537481928307478e-07
71,0.011241358057165363
72,0.00022128055010959112
73,0.0007330322300377766
74,2.000388571829408e-05
75,1.868922522142789e-06
76,1.3618885929879356e-05
77,0.0004897018687326583
78,0.00026207129754168677
79,2.4625023533544996e-07
80,2.0074574115538347e-08
81,2.4117298683215587e-08
82,1.6239349593872248e-07
83,6.386969250000651e-07
84,0.7674140810342125
85,0.00024394276504548272
86,3.5400558207259705e-05
87,0.0002422273375859391
88,3.440111743711543e-06
89,1.3532817007599481e-05
90,0.0034952049452836157
91,4.170363149622069e-07
92,1.0993525799818664e-06
93,0.08837325711604671
